statin ,Fatigue,Hepatic,Muscular_Obj,Muscular_Sub_AE,Nervous,Sex
24703,183,202,277,577,352,0
29052,273,269,300,676,427,0
40390,438,265,462,1517,877,0
30051,271,249,357,1045,538,0
27715,255,233,350,691,734,0
34614,236,282,420,790,478,0
36582,282,205,449,1085,550,0
34438,275,207,394,1008,502,0
38657,329,278,366,1003,581,0
35558,328,192,364,868,548,0
21150,194,128,216,533,372,0
21440,230,202,289,748,374,0
17493,193,154,204,593,290,0
16134,185,153,180,487,298,0
19675,219,129,191,592,339,0
20450,256,201,263,655,345,0
22452,261,159,217,703,338,0
19246,239,170,214,671,331,0
22021,250,175,249,619,383,0
23084,415,185,229,893,461,0
25404,371,140,207,746,427,0
27824,404,186,238,892,600,0
31732,477,180,306,938,807,0
29478,455,240,247,756,624,0
30340,462,179,234,903,659,0
31278,467,189,267,894,678,0
34912,656,247,305,951,885,0
32045,513,232,244,898,689,0
33226,553,201,197,883,658,0
32188,497,205,231,753,622,0
33222,749,196,246,1003,751,0
28588,406,142,232,665,616,0
37851,534,242,304,958,702,0
46355,697,354,600,1038,965,0
48809,970,357,520,1312,1101,0
43908,585,320,431,1074,834,0
42651,589,292,403,1041,802,0
44201,543,304,354,971,785,0
46642,642,360,409,1187,953,0
43946,599,361,382,1076,824,0
28738,222,183,167,785,469,1
33036,301,187,196,1008,607,1
49194,568,220,247,1985,1407,1
39205,402,221,255,1754,841,1
34992,331,204,238,1267,458,1
41779,457,203,251,1250,741,1
42259,371,231,200,1279,768,1
47391,442,197,215,1585,845,1
53628,551,252,200,1747,1009,1
52347,440,212,198,1552,954,1
31042,262,140,147,914,580,1
30180,314,202,202,1225,673,1
25194,292,138,120,953,561,1
21260,188,143,112,796,464,1
24789,234,160,110,842,496,1
27144,319,158,197,1018,676,1
33821,399,151,105,1091,680,1
26018,285,161,155,845,491,1
29159,365,152,180,963,672,1
27629,449,178,152,1096,652,1
33993,476,173,96,1153,840,1
33843,427,151,151,1087,761,1
41107,550,169,195,1330,1191,1
38404,498,148,147,1282,942,1
41338,583,166,124,1433,1038,1
37664,546,149,131,1279,939,1
40230,608,187,193,1231,1088,1
39011,606,225,180,1204,1020,1
41047,628,184,145,1221,1038,1
37963,576,179,129,1161,865,1
40340,648,252,146,1523,1019,1
36041,584,221,136,1152,835,1
45823,628,260,180,1358,1033,1
52656,744,354,255,1597,1160,1
52163,776,328,298,1537,1142,1
50388,702,279,232,1452,1124,1
52664,738,319,259,1500,1098,1
56995,733,344,188,1606,1185,1
61689,883,357,251,1751,1442,1
56358,834,343,256,1599,1240,1
